,Ticker,username,Name,Industry,Total ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,user_id
232,MTB,mandt_bank,M&T Bank Corporation (MTB),Financials,28,2.0,13.0,12.0,82382893
233,MRO,marathonoil,Marathon Oil Corporation (MRO),Energy,43,24.0,11.0,9.0,15766628
234,MPC,marathonpetroco,Marathon Petroleum Corporation (MPC),Energy,39,23.0,9.0,6.0,320962473
235,MAR,marriottintl,"Marriott International, Inc. (MAR)",Consumer Discretionary,25,10.0,11.0,5.0,14140913
236,MLM,martinmarietta,"Martin Marietta Materials, Inc. (MLM)",Materials,33,19.0,5.0,9.0,180912714
237,MAS,mascolma,Masco Corporation (MAS),Industrials,21,11.0,4.0,6.0,1390182186
238,MA,mastercard,Mastercard Incorporated (MA),Information Technology,17,0.0,8.0,9.0,75014376
239,MXIM,maximintegrated,"Maxim Integrated Products, Inc. (MXIM)",Information Technology,24,9.0,7.0,7.0,32618940
240,MKC,mccormickcorp,"McCormick & Company, Incorporated (MKC)",Consumer Staples,32,11.0,15.0,6.0,3031338755
241,MCD,mcdonaldscorp,McDonald's Corporation (MCD),Consumer Discretionary,25,4.0,15.0,6.0,111679943
242,MCK,mckesson,McKesson Corporation (MCK),Health Care,20,2.0,12.0,6.0,148872151
243,MDT,medtronic,Medtronic plc (MDT),Health Care,27,2.0,14.0,10.0,52846066
244,MRK,merck,"Merck & Co., Inc. (MRK)",Health Care,28,2.0,15.0,11.0,35961145
245,MET,metlife,"MetLife, Inc. (MET)",Financials,23,1.0,11.0,12.0,78661839
246,MTD,mettlertoledo,Mettler-Toledo International Inc. (MTD),Health Care,12,1.0,6.0,6.0,532952294
247,MGM,mgmresortsintl,MGM Resorts International (MGM),Consumer Discretionary,25,2.0,11.0,12.0,2216675940
248,MCHP,microchiptech,Microchip Technology Incorporated (MCHP),Information Technology,34,16.0,9.0,9.0,16351266
249,MU,microntech,"Micron Technology, Inc. (MU)",Information Technology,34,17.0,9.0,8.0,19037711
250,MSFT,microsoft,Microsoft Corporation (MSFT),Information Technology,16,0.0,10.0,5.0,74286565
251,MHK,mhkgreenworks,"Mohawk Industries, Inc. (MHK)",Consumer Discretionary,15,6.0,4.0,5.0,30042497
252,TAP,molsoncoors,Molson Coors Beverage Company (TAP),Consumer Staples,19,6.0,7.0,6.0,441998843
253,MDLZ,mdlz,"Mondelez International, Inc. (MDLZ)",Consumer Staples,26,10.0,11.0,6.0,2215976798
254,MNST,monsterenergy,Monster Beverage Corporation (MNST),Consumer Staples,33,14.0,12.0,7.0,63253045
255,MCO,moodyscorp,Moody's Corporation (MCO),Financials,14,0.0,8.0,6.0,256648662
256,MS,morganstanley,Morgan Stanley (MS),Financials,24,1.0,13.0,9.0,426159377
257,MSI,motosolutions,"Motorola Solutions, Inc. (MSI)",Information Technology,15,1.0,8.0,5.0,195702287
258,MSCI,msci_inc,MSCI Inc. (MSCI),Financials,23,0.0,16.0,7.0,59155308
259,MYL,mylannews,"Mylan, Inc. (MYL)",Health Care,38,2.0,19.0,16.0,293754638
260,NDAQ,nasdaq,"Nasdaq, Inc. (NDAQ)",Financials,17,2.0,8.0,7.0,18639734
261,NOV,novglobal,"National Oilwell Varco, Inc. (NOV)",Energy,34,13.0,13.0,9.0,2588219916
262,NTAP,netapp,"NetApp, Inc. (NTAP)",Information Technology,20,3.0,10.0,6.0,15897465
263,NWL,newell_brands,Newell Brands Inc. (NWL),Consumer Discretionary,15,6.0,5.0,4.0,121580581
264,NEM,newmontcorp,Newmont Corporation (NEM),Materials,24,10.0,9.0,5.0,437789543
265,NWSA,newscorp,News Corporation (NWSA),Communication Services,14,0.0,6.0,8.0,1516521758
266,NEE,nexteraenergy,"NextEra Energy, Inc. (NEE)",Utilities,30,15.0,9.0,6.0,94190179
267,NLSN,nielsenir,Nielsen Holdings plc (NLSN),Industrials,23,0.0,16.0,7.0,859654890
268,NKE,nike,"NIKE, Inc. (NKE)",Consumer Discretionary,17,2.0,6.0,8.0,415859364
269,NI,nisourceinc,NiSource Inc. (NI),Utilities,32,15.0,10.0,7.0,2329361226
270,NSC,nscorp,Norfolk Southern Corporation (NSC),Industrials,24,9.0,12.0,4.0,66472414
271,NTRS,northerntrust,Northern Trust Corporation (NTRS),Financials,25,2.0,12.0,11.0,308506248
272,NLOK,nortonlifelock,NortonLifeLock Inc. (NLOK),Information Technology,16,1.0,10.0,6.0,1173980018009001984
273,NCLH,cruisenorwegian,Norwegian Cruise Line Holdings Ltd. (NCLH),Consumer Discretionary,27,13.0,11.0,4.0,17045115
274,NRG,nrgenergy,"NRG Energy, Inc. (NRG)",Utilities,40,21.0,11.0,8.0,32880255
275,NUE,nucorcorp,Nucor Corporation (NUE),Materials,38,15.0,14.0,9.0,361259570
276,NVDA,nvidia,NVIDIA Corporation (NVDA),Information Technology,13,2.0,4.0,7.0,61559439
277,ORLY,oreillyauto,"O'Reilly Automotive, Inc. (ORLY)",Consumer Discretionary,13,0.0,9.0,4.0,32516857
278,OXY,weareoxy,Occidental Petroleum Corporation (OXY),Energy,43,23.0,12.0,8.0,42641711
279,OKE,oneok,"ONEOK, Inc. (OKE)",Energy,27,13.0,10.0,4.0,64834590
280,ORCL,oracle,Oracle Corporation (ORCL),Information Technology,18,0.0,11.0,7.0,809273
281,PKG,packagingcorp,Packaging Corporation of America (PKG),Materials,19,13.0,2.0,4.0,2645632766
282,PH,parkerhannifin,Parker-Hannifin Corporation (PH),Industrials,30,7.0,15.0,8.0,112423234
283,PAYX,paychex,"Paychex, Inc. (PAYX)",Information Technology,16,0.0,9.0,7.0,39750799
284,PYPL,paypal,"PayPal Holdings, Inc. (PYPL)",Information Technology,19,0.0,12.0,8.0,30018058
285,PNR,pentair,Pentair plc (PNR),Industrials,31,9.0,16.0,7.0,3070701243
286,PBCT,peoplesunited,"People's United Financial, Inc. (PBCT)",Financials,27,3.0,13.0,11.0,209116528
287,PEP,pepsico,"PepsiCo, Inc. (PEP)",Consumer Staples,22,7.0,10.0,5.0,21346619
288,PKI,perkinelmer,"PerkinElmer, Inc. (PKI)",Health Care,21,2.0,13.0,7.0,128564900
289,PRGO,perrigocompany,Perrigo Company plc (PRGO),Health Care,41,3.0,24.0,13.0,1430592241
290,PFE,pfizer,Pfizer Inc. (PFE),Health Care,33,2.0,18.0,13.0,56488059
291,PM,insidepmi,Philip Morris International Inc. (PM),Consumer Staples,29,7.0,14.0,8.0,914311278
292,PSX,phillips66co,Phillips 66 (PSX),Energy,31,19.0,7.0,5.0,405085229
293,PXD,pxdtweets,Pioneer Natural Resources Company (PXD),Energy,45,23.0,13.0,9.0,979244048
294,PNC,pncbank,"The PNC Financial Services Group, Inc. (PNC)",Financials,20,2.0,10.0,8.0,40059448
295,PFG,principal,"Principal Financial Group, Inc. (PFG)",Financials,22,2.0,9.0,12.0,164365554
296,PGR,progressive,The Progressive Corporation (PGR),Financials,25,2.0,9.0,13.0,3331681
297,PLD,prologis,"Prologis, Inc. (PLD)",Real Estate,10,3.0,3.0,5.0,108336372
298,PRU,prudential,"Prudential Financial, Inc. (PRU)",Financials,19,1.0,10.0,8.0,1194947442
299,PEG,psegnews,Public Service Enterprise Group Incorporated (PEG),Utilities,29,14.0,10.0,5.0,234823795
300,PSA,publicstorage,Public Storage (PSA),Real Estate,18,6.0,6.0,6.0,25362591
301,PHM,pultegroupnews,"PulteGroup, Inc. (PHM)",Consumer Discretionary,22,8.0,9.0,5.0,1615802550
302,PVH,pvhcorp,PVH Corp. (PVH),Consumer Discretionary,15,1.0,7.0,7.0,996012569117806595
303,QRVO,qorvoinc,"Qorvo, Inc. (QRVO)",Information Technology,36,20.0,9.0,8.0,2792823936
304,QCOM,qualcomm,QUALCOMM Incorporated (QCOM),Information Technology,19,2.0,6.0,11.0,84623395
305,PWR,quanta_services,"Quanta Services, Inc. (PWR)",Industrials,37,9.0,16.0,12.0,2478412250
306,RL,ralphlauren,Ralph Lauren Corporation (RL),Consumer Discretionary,14,1.0,6.0,7.0,34395888
307,RJF,raymondjames,"Raymond James Financial, Inc. (RJF)",Financials,29,2.0,13.0,15.0,17981602
308,O,realtyincome,Realty Income Corporation (O),Real Estate,19,7.0,7.0,5.0,475255646
309,REG,regencycenters,Regency Centers Corporation (REG),Real Estate,11,3.0,3.0,4.0,105159738
310,REGN,regeneron,"Regeneron Pharmaceuticals, Inc. (REGN)",Health Care,25,0.0,17.0,8.0,23077762
311,RF,regionsnews,Regions Financial Corporation (RF),Financials,20,1.0,10.0,8.0,1726561729
312,RMD,resmed,ResMed Inc. (RMD),Health Care,28,4.0,12.0,11.0,522734100
313,RHI,roberthalf,Robert Half International Inc. (RHI),Industrials,11,0.0,7.0,4.0,16637298
314,ROK,rokautomation,"Rockwell Automation, Inc. (ROK)",Industrials,22,7.0,9.0,7.0,44627268
315,ROP,industriesroper,"Roper Technologies, Inc. (ROP)",Industrials,21,1.0,14.0,6.0,2449921728
316,ROST,ross_stores,"Ross Stores, Inc. (ROST)",Consumer Discretionary,16,2.0,8.0,6.0,4261659374
317,RCL,royalcaribbean,Royal Caribbean Cruises Ltd. (RCL),Consumer Discretionary,23,10.0,9.0,4.0,36144455
318,SPGI,spglobal,S&P Global Inc. (SPGI),Financials,14,1.0,6.0,6.0,110522065
319,CRM,salesforce,"salesforce.com, inc. (CRM)",Information Technology,14,1.0,8.0,5.0,33612317
320,SLB,schlumberger,Schlumberger Limited (SLB),Energy,24,10.0,7.0,7.0,121609872
321,STX,seagate,Seagate Technology plc (STX),Information Technology,15,2.0,8.0,6.0,14762127
322,SEE,sealed_air,Sealed Air Corporation (SEE),Materials,20,13.0,2.0,4.0,59841697
323,SRE,sempraenergy,Sempra Energy (SRE),Utilities,30,13.0,10.0,6.0,20637451
324,NOW,servicenow,"ServiceNow, Inc. (NOW)",Information Technology,22,2.0,14.0,7.0,15766070
325,SHW,sherwinwilliams,The Sherwin-Williams Company (SHW),Materials,31,13.0,11.0,6.0,111372861
326,SWKS,skyworksinc,"Skyworks Solutions, Inc. (SWKS)",Information Technology,32,15.0,9.0,9.0,50125539
327,SLG,slgreen,SL Green Realty Corp. (SLG),Real Estate,15,4.0,4.0,8.0,607778163
328,SNA,snapon_tools,Snap-on Incorporated (SNA),Industrials,32,11.0,13.0,8.0,18892107
329,SO,southerncompany,The Southern Company (SO),Utilities,33,14.0,12.0,6.0,15864671
330,LUV,southwestair,Southwest Airlines Co. (LUV),Industrials,32,10.0,16.0,6.0,7212562
331,SWK,stanleyblkdeckr,"Stanley Black & Decker, Inc. (SWK)",Industrials,32,7.0,17.0,9.0,117789943
332,SBUX,starbucks,Starbucks Corporation (SBUX),Consumer Discretionary,21,3.0,13.0,5.0,30973
333,STT,statestreet,State Street Corporation (STT),Financials,22,2.0,11.0,8.0,331877987
334,SYK,strykercomm,Stryker Corporation (SYK),Health Care,37,4.0,20.0,12.0,709833640583294977
335,SNPS,synopsys,"Synopsys, Inc. (SNPS)",Information Technology,20,1.0,13.0,6.0,17427993
336,SYY,sysco,Sysco Corporation (SYY),Consumer Staples,13,2.0,6.0,5.0,823523768
